Date,Icon,Type,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
3/31/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/31/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/31/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/31/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/31/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
3/31/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
3/31/21,Cake,Lunch,293.00,18,4.5,19.5,7.5,4.88,0.3,39,330
3/31/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/31/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/31/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/31/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/30/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/30/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/30/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/30/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/30/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/30/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/30/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/30/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/30/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/30/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/29/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/29/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/29/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/29/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/29/21,Fern,Breakfast,45.00,0.15,4.2,9.77,0.2,3.34,5.96,0,59.6
3/29/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/29/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/29/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/29/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/29/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/29/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/28/21,Fern,Breakfast,45.00,0.15,4.2,9.77,0.2,3.34,5.96,0,59.6
3/28/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/28/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/28/21,Coleslaw,Breakfast,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/28/21,Beer,Lunch,259.00,0,2.77,21.37,0,0,0,0,24.8
3/28/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/28/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/28/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/28/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/28/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/27/21,Tostada,Breakfast,400.00,22,20,22,8,3,2,390,630
3/27/21,Quesadilla,Breakfast,500.00,21,16,23,9,0,2,45,745
3/27/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/27/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/27/21,Pizza,Lunch,544.00,19.59,24.53,67.11,8.69,8.28,3.5,43.26,1102.1
3/27/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/27/21,Tortilla,Dinner,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/27/21,Beef,Dinner,290.00,12.12,42.44,0,5.3,0,0,0,0
3/26/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/26/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/26/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/26/21,Beer,Lunch,259.00,0,2.77,21.37,0,0,0,0,24.8
3/26/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
3/26/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
3/26/21,DeliMeat,Dinner,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
3/26/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
3/26/21,Coleslaw,Dinner,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/25/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/25/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/25/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/25/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/25/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/25/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/25/21,Fish,Lunch,292.00,12.77,41.6,0,1.97,0,0,130.9,110.5
3/25/21,Soup,Lunch,125.00,0.52,5.24,24.7,0.12,5.24,4.67,2.46,479.7
3/25/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/25/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/25/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/25/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/24/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/24/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/24/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/24/21,Fern,Breakfast,45.00,0.15,4.2,9.77,0.2,3.34,5.96,0,59.6
3/24/21,Quesadilla,Breakfast,500.00,21,16,23,9,0,2,45,745
3/24/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/24/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/24/21,Salad,Lunch,120.00,9,3,8,2,2,2,5,330
3/24/21,Tortilla,Lunch,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/24/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/24/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/24/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/23/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/23/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/23/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/23/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/23/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/23/21,Asparagus,Lunch,240.00,0,0,0,0,0,0,0,0
3/23/21,CinnamonRoll,Lunch,205.00,17.23,3.34,34.46,8.62,18.31,0.86,2.15,213.23
3/23/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/23/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/23/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/22/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/22/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/22/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/22/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/22/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/22/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/22/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/22/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/22/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/22/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/22/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/21/21,Tostada,Breakfast,400.00,22,20,22,8,3,2,390,630
3/21/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/21/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
3/21/21,Seaweed,Lunch,35.00,0.28,5.81,5.11,0.6,0.49,0.3,0,48
3/21/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/21/21,Fish,Lunch,342.00,0,0,0,0,0,0,0,0
3/21/21,CerealCheerios,Dinner,300.00,6,9,60,1.5,3,9,0,420
3/21/21,Milk,Dinner,160.00,0,16.4,26.6,0,24.6,0,10.2,250.62
3/20/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/20/21,Fern,Breakfast,11.00,0.4,1.1,2.44,0,0.83,1.49,0,14.9
3/20/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/20/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/20/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
3/20/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
3/20/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/20/21,Beer,Dinner,259.00,0,2.77,21.37,0,0,0,0,24.8
3/20/21,Beef,Dinner,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/20/21,FrenchFries,Dinner,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/19/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/19/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/19/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/19/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/19/21,Fern,Breakfast,11.00,0.4,1.1,2.44,0,0.83,1.49,0,14.9
3/19/21,CinnamonRoll,Lunch,205.00,17.23,3.34,34.46,8.62,18.31,0.86,2.15,213.23
3/19/21,Fish,Lunch,326.00,6.76,66.68,0,2.4,0,0,145.35,142.8
3/19/21,SnapBean,Lunch,44.00,0.35,2.36,9.85,0.8,4.54,4,0,1.25
3/19/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/19/21,DeliMeat,Dinner,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
3/19/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
3/19/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/19/21,Coleslaw,Dinner,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/18/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/18/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/18/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/18/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/18/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/18/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/18/21,Beer,Lunch,129.00,0,1.38,10.68,0,0,0,0,12.4
3/18/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/18/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/18/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/18/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/17/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/17/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/17/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/17/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/17/21,Fern,Breakfast,11.00,0.4,1.1,2.44,0,0.83,1.49,0,14.9
3/17/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/17/21,Zucchini,Lunch,20.00,0,0,0,0,0,0,0,0
3/17/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/17/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/17/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/17/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/16/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/16/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/16/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/16/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/16/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/16/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/16/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/16/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/16/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/16/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/15/21,Tortilla,Breakfast,165.00,0.72,5.46,33.42,0.1,0.78,1.32,0,321.6
3/15/21,Tofu,Breakfast,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/15/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/15/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/15/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
3/15/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/15/21,Fish,Lunch,342.00,0,0,0,0,0,0,0,0
3/15/21,Coleslaw,Dinner,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/15/21,DeliMeat,Dinner,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
3/15/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
3/14/21,Quesadilla,Breakfast,1500.00,63,48,69,27,0,6,135,2235
3/14/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/14/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/14/21,CinnamonRoll,Lunch,205.00,17.23,3.34,34.46,8.62,18.31,0.86,2.15,213.23
3/14/21,CerealCheerios,Dinner,200.00,4,6,40,1,2,6,0,280
3/14/21,Milk,Dinner,160.00,0,16.4,26.6,0,24.6,0,10.2,250.62
3/13/21,Fern,Breakfast,11.00,0.4,1.1,2.44,0,0.83,1.49,0,14.9
3/13/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/13/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/13/21,DeliMeat,Breakfast,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
3/13/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/13/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/13/21,Beer,Lunch,129.00,0,1.38,10.68,0,0,0,0,12.4
3/13/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/13/21,Pizza,Dinner,544.00,19.59,24.53,67.11,8.69,8.28,3.5,43.26,1102.1
3/13/21,Coleslaw,Dinner,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/12/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/12/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/12/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/12/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
