Date,Icon,Type,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
3/12/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/12/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/12/21,CinnamonRoll,Lunch,205.00,17.23,3.34,34.46,8.62,18.31,0.86,2.15,213.23
3/12/21,Zucchini,Lunch,20.00,0,0,0,0,0,0,0,0
3/12/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/12/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/12/21,Tofu,Dinner,86.00,8.56,1.48,1.2,4.82,0.8,0,27.5,80.25
3/11/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/11/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/11/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/11/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/11/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/11/21,Salad,Lunch,120.00,9,3,8,2,2,2,5,330
3/11/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/11/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/11/21,Tofu,Dinner,86.00,8.56,1.48,1.2,4.82,0.8,0,27.5,80.25
3/11/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/10/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/10/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/10/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/10/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/10/21,Fish,Lunch,292.00,12.77,41.6,0,1.97,0,0,130.9,110.5
3/10/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/10/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/10/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/10/21,Tofu,Dinner,86.00,8.56,1.48,1.2,4.82,0.8,0,27.5,80.25
3/9/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/9/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/9/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/9/21,Fish,Lunch,218.00,4.5,44.45,0,1.6,0,0,96.9,95.2
3/9/21,Artichoke,Lunch,89.00,0.57,4.86,20.8,0.13,1.66,14.45,0,100.8
3/9/21,Tomato,Lunch,139.00,1.6,7.62,30.11,0.23,20.3,6.64,0,1131.3
3/9/21,Salad,Lunch,120.00,9,3,8,2,2,2,5,330
3/9/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/9/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/9/21,Tofu,Dinner,86.00,8.56,1.48,1.2,4.82,0.8,0,27.5,80.25
3/8/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/8/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/8/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/8/21,Hamburger,Lunch,300.00,2,25,30,5,0,1,50,67
3/8/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/8/21,Salad,Lunch,120.00,9,3,8,2,2,2,5,330
3/8/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/8/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/8/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/7/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/7/21,DeliMeat,Breakfast,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
3/7/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/7/21,Coleslaw,Breakfast,149.00,4.99,2.46,23.7,0.73,0,2.87,15.28,43.93
3/7/21,Pasta,Lunch,574.00,11.3,27.6,88.6,3.8,3.1,5.4,37.2,661
3/7/21,Tomato,Lunch,170.00,0,29,0,0,0,0,0,0
3/7/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/7/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/7/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/6/21,Bagel,Breakfast,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/6/21,Fish,Breakfast,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/6/21,Tofu,Breakfast,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/6/21,Hamburger,Lunch,300.00,2,25,30,5,0,1,50,67
3/6/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/6/21,Salad,Lunch,120.00,9,3,8,2,2,2,5,330
3/6/21,Fish,Dinner,300.00,3.94,57.5,18.4,0,0,0,0,0
3/5/21,Bagel,Breakfast,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/5/21,Fish,Breakfast,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/5/21,Tofu,Breakfast,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/5/21,Sushi,Lunch,611.00,11.25,38.75,82.5,1.25,8.75,3.75,72.5,858.75
3/5/21,Shrimp,Lunch,90.00,7,2,4,1,0,0,15,65
3/5/21,Sushi,Lunch,150.00,0,40,0,0,0,0,0,0
3/5/21,CerealCheerios,Dinner,200.00,4,6,40,1,2,6,0,280
3/5/21,Milk,Dinner,160.00,0,16.4,26.6,0,24.6,0,10.2,250.62
3/5/21,Sandwich,Snacks,200.00,0,13,0,0,0,0,0,0
3/4/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/4/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/4/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/4/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/4/21,FrenchFries,Lunch,95.00,5.76,0.82,9.47,1.3,0.41,0.82,0,168.73
3/4/21,Beer,Lunch,129.00,0,1.38,10.68,0,0,0,0,12.4
3/4/21,Zucchini,Lunch,20.00,0,0,0,0,0,0,0,0
3/4/21,CinnamonRoll,Lunch,205.00,17.23,3.34,34.46,8.62,18.31,0.86,2.15,213.23
3/4/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/4/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/4/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/4/21,Cake,Snacks,293.00,18,4.5,19.5,7.5,4.88,0.3,39,330
3/3/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/3/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/3/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/3/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/3/21,Tortilla,Lunch,209.00,2.74,5.47,42.85,0.43,0.84,6.5,0,43.2
3/3/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/3/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/3/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/3/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/2/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/2/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/2/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/2/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/2/21,FrenchFries,Lunch,95.00,5.76,0.82,9.47,1.3,0.41,0.82,0,168.73
3/2/21,Asparagus,Lunch,240.00,0,0,0,0,0,0,0,0
3/2/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/2/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/2/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
3/1/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/1/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
3/1/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/1/21,Chicken,Lunch,542.00,41,32,6,0,1,3,0,0
3/1/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/1/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/1/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/1/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
3/1/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
2/28/21,Quesadilla,Breakfast,500.00,21,16,23,9,0,2,45,745
2/28/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
2/28/21,Fern,Breakfast,15.00,0.5,1.35,3.28,0.1,1.12,2,0,20
2/28/21,Beef,Lunch,551.00,38.38,51.39,0,15.1,0,0,162.35,108.23
2/28/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
2/28/21,FrenchFries,Lunch,68.00,4.12,0.59,6.76,0.73,0.29,0.59,0,120.52
2/28/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
2/28/21,Coleslaw,Dinner,149.00,4.99,2.46,23.7,0.73,0,2.87,15.28,43.93
2/28/21,DeliMeat,Dinner,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
2/28/21,Cheese,Dinner,160.00,14,8,2,8,2,0,40,600
2/27/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/27/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/27/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
2/27/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/27/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
2/27/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
2/27/21,Seaweed,Lunch,35.00,0.28,5.81,5.11,0.6,0.49,0.3,0,48
2/27/21,Fish,Lunch,342.00,0,0,0,0,0,0,0,0
2/27/21,Pizza,Dinner,544.00,19.59,24.53,67.11,8.69,8.28,3.5,43.26,1102.1
2/26/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/26/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/26/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/26/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
2/26/21,Rice,Lunch,363.00,0.59,6.64,79.77,0.16,0,0.84,0,0
2/26/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
2/26/21,DeliMeat,Dinner,329.00,13.4,48.83,0.81,6,0.22,0,152.32,1982.4
2/26/21,Coleslaw,Dinner,99.00,3.33,1.64,15.81,0.48,0,1.91,10.19,29.3
2/26/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
2/26/21,Cheese,Dinner,226.00,18.56,13.94,0.72,11.81,0.29,0,58.8,347.76
2/25/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/25/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/25/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/25/21,Chicken,Lunch,495.00,10.71,93.6,0,3.3,0,0,255,222
2/25/21,Salad,Lunch,7.00,0.3,0.5,1.29,0,0.64,0.4,0,10.39
2/25/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
2/25/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
2/25/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
2/25/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
2/24/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/24/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/24/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
2/24/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/24/21,Salad,Lunch,7.00,0.3,0.5,1.29,0,0.64,0.4,0,10.39
2/24/21,Beef,Lunch,275.00,19.19,25.69,0,7.5,0,0,81.18,54.12
2/24/21,Rice,Lunch,363.00,0.59,6.64,79.77,0.16,0,0.84,0,0
2/24/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
2/24/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
2/24/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
2/23/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/23/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/23/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/23/21,Soup,Lunch,125.00,0.52,5.24,24.7,0.12,5.24,4.67,2.46,479.7
2/23/21,Rice,Lunch,363.00,0.59,6.64,79.77,0.16,0,0.84,0,0
2/23/21,Salad,Lunch,325.00,2.6,23.5,9,0.8,1,2,0,0
2/23/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
2/23/21,DeliMeat,Dinner,206.00,8.15,30.52,0.5,3.75,0.14,0,95.2,1239
2/23/21,Coleslaw,Dinner,166.00,15.68,0.8,5.76,1.6,5.76,1.12,11.2,284.8
2/22/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/22/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/22/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/22/21,Chicken,Lunch,542.00,41,32,6,0,1,3,0,0
2/22/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
2/22/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
2/22/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
2/21/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/21/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/21/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/21/21,Chicken,Lunch,234.00,5.6,43.97,0,1.43,0,0,120.48,104.89
2/21/21,Salad,Lunch,7.00,0.3,0.5,1.29,0,0.64,0.4,0,10.39
2/21/21,Rice,Lunch,363.00,0.59,6.64,79.77,0.16,0,0.84,0,0
2/21/21,CerealFruitLoops,Dinner,165.00,1.5,1.5,37.5,0.75,18,4.5,0,202.5
2/21/21,Milk,Dinner,102.00,0,10.17,16.53,0,15.25,0,6.36,158.9
2/20/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/20/21,Fern,Breakfast,15.00,0.5,1.34,3.26,0.1,1.11,1.99,0,19.88
2/20/21,Beef,Lunch,275.00,19.19,25.69,0,7.5,0,0,81.18,54.12
2/20/21,Salad,Lunch,7.00,0.3,0.5,1.29,0,0.64,0.4,0,10.39
2/20/21,Tortilla,Dinner,165.00,0.72,5.46,33.42,0.1,0.78,1.32,0,321.6
2/20/21,Tofu,Dinner,50.00,4.96,0.86,0.59,2.8,0.47,0,15.95,46.55
2/19/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/19/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/19/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/19/21,Chicken,Lunch,234.00,5.6,43.97,0,1.43,0,0,120.48,104.89
2/19/21,Rice,Lunch,363.00,0.59,6.64,79.77,0.16,0,0.84,0,0
2/19/21,DeliMeat,Dinner,206.00,8.15,30.52,0.5,3.75,0.14,0,95.2,1239
2/19/21,Coleslaw,Dinner,99.00,3.33,1.64,15.81,0.48,0,1.91,10.19,29.3
2/19/21,Toast,Dinner,154.00,2.11,6.33,27.56,0.46,3.34,2.9,0,302.18
2/19/21,Sandwich,Snacks,366.00,14.4,26.4,31.9,2.6,8,3,46.6,919.1
2/18/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
2/18/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
2/18/21,Tortilla,Breakfast,105.00,1.37,2.74,21.43,0.22,0.42,3.2,0,21.6
2/18/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
2/18/21,FrenchFries,Lunch,340.00,16,4,44,2,0,4,0,230
2/18/21,Fish,Dinner,66.00,2.45,10.36,0,0.52,0,0,13.4,1134
2/18/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54